gene,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated,label
DUSP6,3,-0.8585677226327464,1.0,6.847381093492322e-09,0.3333333333333333,0.7154731021939552,1,1
E2F3,3,-0.5228735243096998,1.0,6.448537184651977e-05,0.0,0.2614367621548499,1,1
EFR3B,3,-0.5346195308146546,1.0,0.0013378166173018,0.3333333333333333,0.4455162756788788,1,1
ENAH,3,0.2592940604221532,0.6666666666666666,0.0785072700682527,0.0,0.086431353474051,0,0
ETHE1,3,0.0863000354579313,1.0,0.4789322775310869,0.0,0.0431500177289656,0,0
F8,3,0.025693444660813,0.6666666666666666,0.0381912143371167,0.0,0.0085644815536043,0,0
FBXO30,3,0.0208959322993242,1.0,0.6829024716301393,0.0,0.0104479661496621,0,0
FBXW7,3,-0.5588569709771969,1.0,0.0067455224999539,0.0,0.2794284854885984,1,1
FIBP,3,-0.5646696147735728,1.0,0.0002835146792549,0.3333333333333333,0.4705580123113106,1,1
FKBP5,3,1.20251965462713,1.0,0.0034837466156288,0.3333333333333333,1.002099712189275,1,1
FOXS1,3,-0.2653861778273494,1.0,0.2038754451876,0.0,0.1326930889136747,0,0
GAD1,3,-0.8220035477581007,1.0,0.0059085408347599,0.0,0.4110017738790503,1,1
GALNT6,3,0.1811533341354776,1.0,0.7683291387256097,0.0,0.0905766670677388,0,0
GFAP,3,0.8470036751661176,1.0,0.0024507363054068,0.0,0.4235018375830588,1,1
GJA5,3,0.0133936941389554,0.6666666666666666,0.2208362257340828,0.0,0.0044645647129851,0,0
GLTP,3,0.5311330551950686,1.0,0.0072279947788541,0.0,0.2655665275975343,1,1
GNL3,3,-0.0116199923474171,0.6666666666666666,0.5392013301471306,0.0,0.0038733307824723,0,0
GPR141,3,0.0040851765544656,0.6666666666666666,0.0175933427109929,0.0,0.0013617255181552,0,0
GPR180,3,0.081774785476659,1.0,0.7580298924870923,0.0,0.0408873927383295,0,0
GPR78,3,-0.1196055558421313,1.0,0.3298695490773207,0.0,0.0598027779210656,0,0
GRIA3,3,-0.5310144041978022,1.0,0.0040302495144561,0.0,0.2655072020989011,1,1
GRM8,3,-0.5946878372010507,1.0,0.0041610152621408,0.0,0.2973439186005253,1,1
HABP2,3,-0.0085563917558308,0.6666666666666666,0.8299148248820459,0.0,0.0028521305852769,0,0
HES4,3,-0.5033214173394533,1.0,0.0016274327627552,0.0,0.2516607086697267,1,1
HTR3B,3,-0.7619581230560679,1.0,0.0060232060963247,0.0,0.3809790615280339,1,1
HVCN1,3,0.6156990137240745,1.0,0.0091593413781506,0.0,0.3078495068620372,1,1
HYOU1,3,-0.0852087489682942,1.0,0.3556660067822784,0.0,0.0426043744841471,0,0
IGFBP3,3,-0.0623317900488262,0.6666666666666666,0.7727546487303218,0.0,0.0207772633496087,0,0
IKZF2,3,0.6465830486587203,1.0,0.003484748633878,0.0,0.3232915243293601,1,1
IL12RB1,3,-0.0490270148732624,1.0,0.7980641959094239,0.0,0.0245135074366312,0,0
IRAK2,3,0.6027595137634973,1.0,0.0070721339459424,0.0,0.3013797568817487,1,1
ITGB8,3,0.6352392706299028,1.0,0.0037260550504898,0.0,0.3176196353149514,1,1
JMJD1C,3,0.0406310974545673,0.6666666666666666,0.4583410153605002,0.0,0.0135436991515224,0,0
JUP,3,0.548871158509213,1.0,0.0025824883973548,0.0,0.2744355792546065,1,1
KCTD13,3,-0.0753597660381784,1.0,0.8875242136216739,0.0,0.0376798830190892,0,0
KRT17,3,0.0048517308700102,0.6666666666666666,0.5512221560491286,0.0,0.0016172436233367,0,0
KRT5,3,-0.6346358720489372,1.0,0.0002351765399151,0.3333333333333333,0.5288632267074477,1,1
MAS1,3,-0.9647771907829426,1.0,0.0008807607372346,0.3333333333333333,0.8039809923191187,1,1
MCHR1,3,-0.91366670070362,1.0,0.0026369313063369,0.3333333333333333,0.7613889172530166,1,1
MRGPRE,3,-0.0283380696853663,0.6666666666666666,0.4238733509192102,0.0,0.0094460232284554,0,0
NCALD,3,-0.8629155644634805,1.0,0.0029836154593187,0.0,0.4314577822317402,1,1
NEUROD6,3,-1.4229184371828634,1.0,5.721513915920362e-05,0.3333333333333333,1.1857653643190529,1,1
NMB,3,0.0493962447921813,1.0,0.4612398064841955,0.0,0.0246981223960906,0,0
NRN1,3,-0.9407119325868752,1.0,0.0004677560793853,0.3333333333333333,0.7839266104890626,1,1
NTN1,3,0.1611586630616068,0.6666666666666666,0.7416706949296229,0.0,0.0537195543538689,0,0
