transcript_id,n_studies,median_log2fc,direction_consistency,combined_p,significant_fraction,evidence_score,ad_dysregulated
RNY1P2,1,-0.0514591487365049,1.0,0.7573837051817872,0.0,0.02572957436825245,0
SRSF3P4,1,-0.0514539229928003,1.0,0.935922095954872,0.0,0.02572696149640015,0
NCBP1,3,0.0771778872097348,0.6666666666666666,0.7663628080649535,0.0,0.025725962403244932,0
ZNF615,3,0.0771454219890004,0.6666666666666666,0.3526188686523603,0.0,0.02571514066300013,0
RGS13,2,0.10284798089402106,0.5,0.45855211223554704,0.0,0.025711995223505264,0
UBA52,3,0.0771106366950418,0.6666666666666666,0.5988664755155495,0.0,0.025703545565013933,0
ZNF404,3,0.0770980832981154,0.6666666666666666,0.7957769262887738,0.0,0.0256993610993718,0
KLHDC7A,3,-0.0770915469682938,0.6666666666666666,0.6349199264338257,0.0,0.0256971823227646,0
VPS4A,3,0.0770895156997459,0.6666666666666666,0.5745378418191402,0.0,0.02569650523324863,0
LRRC37A16P,1,-0.0513929068547485,1.0,0.8412487663303225,0.0,0.02569645342737425,0
MIB2,3,-0.0513849901218561,1.0,0.8700210153665987,0.0,0.02569249506092805,0
C5orf26,1,0.0513823354436824,1.0,0.6600420178640292,0.0,0.0256911677218412,0
RNU4-78P,1,0.0513707949307143,1.0,0.6139209440642025,0.0,0.02568539746535715,0
MATN4,2,-0.05136937151808495,1.0,0.6307273942629227,0.0,0.025684685759042473,0
WDR45BP1,1,0.0513638700452667,1.0,0.8725917600404449,0.0,0.02568193502263335,0
MEP1A,2,0.10271212057085405,0.5,0.43836705148591926,0.0,0.025678030142713512,0
BNIP3P7,1,-0.0513555985212786,1.0,0.4096015854715228,0.0,0.0256777992606393,0
MTND4P23,1,-0.0513489196197856,1.0,0.8237956572029962,0.0,0.0256744598098928,0
LOC440353,1,-0.051343675840334,1.0,0.9406147059686298,0.0,0.025671837920167,0
GLB1,3,0.0770037617547023,0.6666666666666666,0.3674687377454073,0.0,0.025667920584900767,0
IMPDH1P2,1,0.0513344177035712,1.0,0.8093192550227697,0.0,0.0256672088517856,0
KCND2,3,-0.0769894993752426,0.6666666666666666,0.5931131057657646,0.0,0.0256631664584142,0
VAPA,3,-0.0769787826509134,0.6666666666666666,0.6745909540612428,0.0,0.025659594216971133,0
MIR493HG,1,-0.0513185176189407,1.0,0.8378354144687188,0.0,0.02565925880947035,0
COPS9,2,-0.05131792165802855,1.0,0.6361171927516001,0.0,0.025658960829014275,0
MBL2,1,-0.051315040370564,1.0,0.7294056644872557,0.0,0.025657520185282,0
LOC285692,1,-0.0512985559750778,1.0,0.6658871221161117,0.0,0.0256492779875389,0
RNU6-31P,1,-0.0512709266318891,1.0,0.9004009967887132,0.0,0.02563546331594455,0
RPL17P33,1,-0.051269569364831,1.0,0.9487961561955084,0.0,0.0256347846824155,0
CRTC3-AS1,2,0.10251185285095425,0.5,0.06950928525363634,0.0,0.025627963212738563,0
EEF1A1P29,1,-0.0512557147535763,1.0,0.8887678601484297,0.0,0.02562785737678815,0
ZC3H12A,3,0.0768768026036659,0.6666666666666666,0.8293863874737437,0.0,0.025625600867888634,0
EEF1B2P7,1,0.0512504304080442,1.0,0.869240001513493,0.0,0.0256252152040221,0
PDXK,3,-0.0768681664373058,0.6666666666666666,0.6112298143103152,0.0,0.0256227221457686,0
SNORA98,1,0.0512413374224818,1.0,0.1819966425933699,0.0,0.0256206687112409,0
CDIPT-AS1,1,-0.0512403375171739,1.0,0.7968096286776538,0.0,0.02562016875858695,0
LOC100506990,1,-0.0512299908962461,1.0,0.8233020073946546,0.0,0.02561499544812305,0
LOC101928739,1,0.0512148785636398,1.0,0.2611863611030259,0.0,0.0256074392818199,0
IL22RA1,2,0.10242436011860054,0.5,0.16845657531415106,0.0,0.025606090029650135,0
RGAG1,2,-0.05121127320710045,1.0,0.7707484693461837,0.0,0.025605636603550225,0
DBP,3,-0.0768090202235187,0.6666666666666666,0.5208439380258352,0.0,0.0256030067411729,0
HHLA2,3,0.0768084835503783,0.6666666666666666,0.02769276635312079,0.0,0.025602827850126096,0
MYADML,1,0.0511946336119467,1.0,0.5748680119422288,0.0,0.02559731680597335,0
DPYSL5,3,0.0767721808972021,0.6666666666666666,0.24038214677946756,0.0,0.025590726965734032,0
DIRC2,2,0.1023605927854441,0.5,0.1985934765352168,0.0,0.025590148196361025,0
TBRG4,3,-0.0767527752288037,0.6666666666666666,0.5301481731010043,0.0,0.02558425840960123,0
LOC105371083,1,0.0511673880501475,1.0,0.5460542101579399,0.0,0.02558369402507375,0
PITPNM2-AS1,1,-0.0511655422540834,1.0,0.8781392726134317,0.0,0.0255827711270417,0
LEF1-AS1,2,-0.10232373956914874,0.5,0.34013212268425524,0.0,0.025580934892287185,0
PKLR,3,0.0767417405162961,0.6666666666666666,0.7580241326263212,0.0,0.025580580172098702,0
LOC729506,1,0.0511584113963604,1.0,0.7786997916212685,0.0,0.0255792056981802,0
F11,3,0.0767374571039793,0.6666666666666666,0.5393462472476662,0.0,0.025579152367993102,0
CTR9,3,0.0767321741196953,0.6666666666666666,0.4052180284159758,0.0,0.025577391373231763,0
RPL21P115,1,0.0511504757872717,1.0,0.7949629185616761,0.0,0.02557523789363585,0
CD96,3,-0.0767178387654114,0.6666666666666666,0.5860996179552158,0.0,0.025572612921803798,0
SIRT7,3,-0.0767119225486694,0.6666666666666666,0.09664153992426415,0.0,0.025570640849556465,0
ADH6,3,0.0511338064155915,1.0,0.5527163123963656,0.0,0.02556690320779575,0
G2E3-AS1,1,-0.0511327219734107,1.0,0.853187125175656,0.0,0.02556636098670535,0
METTL15P1,1,0.0511134552681213,1.0,0.7818272665495207,0.0,0.02555672763406065,0
SPACA3,1,-0.051087209633341,1.0,0.19714904092968163,0.0,0.0255436048166705,0
TNFRSF21,3,-0.0766266714086594,0.6666666666666666,0.10136669437085195,0.0,0.02554222380288647,0
TMEM145,3,-0.0766208719662344,0.6666666666666666,0.5549059345261,0.0,0.02554029065541147,0
MYH8,3,-0.0765898111024448,0.6666666666666666,0.10503680906131632,0.0,0.025529937034148263,0
USP12,3,0.0765842719143981,0.6666666666666666,0.4158709706552229,0.0,0.025528090638132696,0
FAM117B,3,0.0765828969292545,0.6666666666666666,0.5002148541226585,0.0,0.0255276323097515,0
RPL21P60,1,-0.051053833029476,1.0,0.8322568050567822,0.0,0.025526916514738,0
P2RX4,3,0.0510527441483543,1.0,0.49912610521203093,0.0,0.02552637207417715,0
PIK3CDP1,1,0.0510452192692858,1.0,0.6813014269279798,0.0,0.0255226096346429,0
FLJ10404,1,-0.0510300799181626,1.0,0.8141999711180314,0.0,0.0255150399590813,0
SYCE2,3,0.0765426666750692,0.6666666666666666,0.27831244165250285,0.0,0.025514222225023066,0
C2orf57,1,-0.0510263306488163,1.0,0.4980145692308716,0.0,0.02551316532440815,0
CEBPZOS,2,-0.0510119708172647,1.0,0.8378048169415715,0.0,0.02550598540863235,0
WDR93,3,0.0765153657045161,0.6666666666666666,0.9042729178023831,0.0,0.025505121901505366,0
