study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,SLC26A10,-0.0099201077486221,0.9549686042323056,0.9999543342423776,9,8,
GSE53697,PINK1,-0.0075678939329719,0.9606403223710788,0.9999543342423776,9,8,
GSE53697,REEP1,0.1441946785097103,0.6810379527708939,0.9999543342423776,9,8,
GSE53697,GPBP1,-0.0326831342952962,0.5454026288151654,0.9999543342423776,9,8,
GSE53697,ACD,0.0106317011703129,0.9291929793302648,0.9999543342423776,9,8,
GSE53697,RAPH1,-0.0383505799956767,0.7614378317892623,0.9999543342423776,9,8,
GSE53697,PFTK2,-0.0969724050925155,0.354243817512169,0.9999543342423776,9,8,
GSE53697,ALS2CR4,0.1371850870564666,0.5796755879206584,0.9999543342423776,9,8,
GSE53697,NBEAL1,0.0266002388762665,0.887058027561173,0.9999543342423776,9,8,
GSE53697,RTN4R,-0.1736296292598447,0.3467427530942105,0.9999543342423776,9,8,
GSE53697,MRPL44,0.0326199958446205,0.8769217913551725,0.9999543342423776,9,8,
GSE53697,VPS33A,0.161698128044442,0.3907020909662293,0.9999543342423776,9,8,
GSE53697,NOL6,0.0719112477000454,0.6130649754542264,0.9999543342423776,9,8,
GSE53697,TMEM135,0.073434428021736,0.6720747245208134,0.9999543342423776,9,8,
GSE53697,JMJD4,0.00937902328661,0.9300622525357066,0.9999543342423776,9,8,
GSE53697,KRI1,-0.153357496769054,0.6153992436640233,0.9999543342423776,9,8,
GSE53697,ZNF649,-0.1553558357161089,0.6050026014309607,0.9999543342423776,9,8,
GSE53697,C5orf42,-0.1215497014633442,0.4623050378161626,0.9999543342423776,9,8,
GSE53697,ZSWIM4,-0.1957777541249554,0.3474545578406182,0.9999543342423776,9,8,
GSE53697,SPATS2,-0.0193667171756493,0.8638852538300246,0.9999543342423776,9,8,
GSE53697,ZNF643,-0.1198967403485298,0.5156772859465808,0.9999543342423776,9,8,
GSE53697,NADK,-0.0906368723817614,0.45218679643798,0.9999543342423776,9,8,
GSE53697,DUSP26,-0.0107072636103495,0.9547052146108344,0.9999543342423776,9,8,
GSE53697,PCDH15,-0.5393660027918479,0.1273115755171566,0.9999543342423776,9,8,
GSE53697,ANKRD57,0.4478208333674787,0.0694755688696365,0.9999543342423776,9,8,
GSE53697,INTS3,-0.1462407921000714,0.4835071185237281,0.9999543342423776,9,8,
GSE53697,RSRC2,-0.1978910042931527,0.185125603488082,0.9999543342423776,9,8,
GSE53697,UPF3A,-0.0653125875234144,0.7907319461580394,0.9999543342423776,9,8,
GSE53697,UPF3B,-0.2012326251851357,0.4299216283117133,0.9999543342423776,9,8,
GSE53697,MARCKSL1,0.223353639094129,0.1934249774839743,0.9999543342423776,9,8,
GSE53697,WNK1,0.1574379194670498,0.5136109386607712,0.9999543342423776,9,8,
GSE53697,CRELD1,-0.1010635320771191,0.5160059569632728,0.9999543342423776,9,8,
GSE53697,MRP63,0.0866702190962938,0.6969982271140989,0.9999543342423776,9,8,
GSE53697,COLEC11,-0.6030517409319867,0.1979280865669232,0.9999543342423776,9,8,
GSE53697,ZFYVE21,-0.0395453568375847,0.7980211396338341,0.9999543342423776,9,8,
GSE53697,DDX54,-0.0721176450611196,0.4123657538327149,0.9999543342423776,9,8,
GSE53697,TMEM38A,-0.2595082048617945,0.1126529598568156,0.9999543342423776,9,8,
GSE53697,TSEN34,0.1575860175883181,0.0743677035860108,0.9999543342423776,9,8,
GSE53697,KCTD15,-0.0173485214193629,0.9303397170560904,0.9999543342423776,9,8,
GSE53697,SECISBP2,-0.1250089031121861,0.3597211515130088,0.9999543342423776,9,8,
GSE53697,NOC4L,-0.0781179179080298,0.7401132071921923,0.9999543342423776,9,8,
GSE53697,ALG8,0.2239242404300432,0.1070684648614407,0.9999543342423776,9,8,
GSE53697,TRPM8,-0.1314881834590191,0.2781257247593018,0.9999543342423776,9,8,
GSE53697,PRRG4,0.0205073151490107,0.9096874580348648,0.9999543342423776,9,8,
GSE53697,PRRG3,0.1040508525867163,0.4998534572074913,0.9999543342423776,9,8,
GSE53697,ASPSCR1,-0.0502738071853272,0.804402094209712,0.9999543342423776,9,8,
GSE53697,MGC3196,0.0121694008151922,0.9196409563755704,0.9999543342423776,9,8,
GSE53697,ATG9A,0.1001383038843304,0.3480921365327561,0.9999543342423776,9,8,
GSE53697,METT10D,0.1352302521272053,0.3997484751571269,0.9999543342423776,9,8,
GSE53697,FTO,0.0673439548266081,0.7056868248687527,0.9999543342423776,9,8,
GSE53697,KDELC1,0.0487985096800076,0.8419772813096842,0.9999543342423776,9,8,
GSE53697,ALG12,0.1236141755908946,0.3999790906491581,0.9999543342423776,9,8,
GSE53697,C19orf42,-0.0085542042501582,0.9091961534050292,0.9999543342423776,9,8,
GSE53697,SLC25A23,0.0118073061234929,0.9278181200204294,0.9999543342423776,9,8,
GSE53697,WDR77,0.1772490084001452,0.2553200706695896,0.9999543342423776,9,8,
GSE53697,MLPH,-0.2146214439459575,0.5981053024571334,0.9999543342423776,9,8,
GSE53697,C11orf48,-0.0300539200545277,0.7360302222476293,0.9999543342423776,9,8,
GSE53697,PVRIG,-0.0821347265385838,0.8344357882993403,0.9999543342423776,9,8,
GSE53697,CCDC86,0.1086073687380864,0.4704986487410236,0.9999543342423776,9,8,
GSE53697,XTP3TPA,0.2224845202389507,0.3587868186549626,0.9999543342423776,9,8,
GSE53697,DSCC1,0.1866798290299955,0.4104345009010145,0.9999543342423776,9,8,
GSE53697,C2orf49,-0.0592783608511817,0.5733117226998559,0.9999543342423776,9,8,
GSE53697,TMEM109,0.2220145656995162,0.1480568146752248,0.9999543342423776,9,8,
GSE53697,FASTKD3,0.1375434180821586,0.4200425999653706,0.9999543342423776,9,8,
GSE53697,ELOVL6,0.2449745865549504,0.230725839061405,0.9999543342423776,9,8,
